ID,Source,Sample,Scan  #,Side,Treatment,Region,Sq,Ssk,Sku,Sp,Sv,Sz,Sa,Area size,Analyst
174,E3,E3.1.6B.19,14,Ventral,Unheated,South Africa,181.95,-0.58,3.72,444.8,664.38,1109.18,141.89,107601622.4,MM
175,E3,E3.1.6B.19,15,Ventral,Unheated,South Africa,116.87,-0.14,2.58,331.84,360.12,691.96,95.68,108442538.5,MM
176,E3,E3.1.6B.19,16,Ventral,Unheated,South Africa,134.27,-0.46,4.34,400.53,584.2,984.73,101.97,107083476.5,MM
177,E3,E3.1.6B.19,17,Ventral,Unheated,South Africa,101.59,-0.7,4.83,278.16,504.31,782.47,78.35,106725748.6,MM
178,E3,E3.1.6B.19,18,Ventral,Unheated,South Africa,119.9,-1.21,5.13,265.79,551.73,817.52,93.22,107099780.8,MM
179,E3,E3.1.6B.19,19,Ventral,Unheated,South Africa,200.56,-0.67,2.84,457.38,688.59,1145.97,169.27,112389704.6,MM
180,E3,E3.1.6B.19,20,Ventral,Unheated,South Africa,284.89,0.05,2.74,724.69,810.93,1535.62,225.19,106262180.8,MM
181,E3,E3.1.6B.10,1,Dorsal,Unheated,South Africa,305.38,1.43,4.26,920.07,544.82,1464.89,228.87,105744311.3,MM
182,E3,E3.1.6B.10,2,Dorsal,Unheated,South Africa,120.04,0.17,3.34,351.33,451.91,803.24,96.14,56861924.77,MM
183,E3,E3.1.6B.10,3,Dorsal,Unheated,South Africa,181.87,0.39,3.81,702.1,542.51,1244.61,139.41,56815069.03,MM
184,E3,E3.1.6B.10,4,Dorsal,Unheated,South Africa,100.43,1.17,5.6,518.65,254.51,773.16,74.63,46496858.34,MM
185,E3,E3.1.6B.10,5,Dorsal,Unheated,South Africa,153.93,0.39,2.43,419.49,318.95,738.44,127.14,65820029.46,MM
186,E3,E3.1.6B.10,6,Dorsal,Unheated,South Africa,118.82,1.24,4.64,570.25,318.26,888.51,94.5,49037814.91,MM
187,E3,E3.1.6B.10,7,Dorsal,Unheated,South Africa,85.17,1.33,7.36,464.41,241.49,705.9,57.16,27009527.11,MM
188,E3,E3.1.6B.10,8,Dorsal,Unheated,South Africa,158.01,0.84,3.27,500.52,378.31,878.83,122.35,26662300.3,MM
189,E3,E3.1.6B.10,9,Dorsal,Unheated,South Africa,256.18,-1.02,3.85,648,917.97,1565.97,200.01,53771715.47,MM
190,E3,E3.1.6B.10,10,Dorsal,Unheated,South Africa,152.51,-1.01,5.93,405.13,662.58,1067.71,109.9,48519401.36,MM
191,E3,E3.1.6B.10,11,Ventral,Unheated,South Africa,80.14,-0.96,3.94,162.52,312.28,474.8,62.39,49720262.89,MM
192,E3,E3.1.6B.10,12,Ventral,Unheated,South Africa,149.92,0.28,3.51,543.18,535.93,1079.11,113.38,100978474.8,MM
193,E3,E3.1.6B.10,13,Ventral,Unheated,South Africa,138.72,-0.32,2.59,374.55,394.25,768.8,111.22,107686321.9,MM
194,E3,E3.1.6B.10,14,Ventral,Unheated,South Africa,111.23,-0.15,6.42,496.83,466.78,963.61,71.36,46803416.46,MM
195,E3,E3.1.6B.10,15,Ventral,Unheated,South Africa,216.1,0.93,3.13,760.26,383.22,1143.48,176.11,118946944,MM
196,E3,E3.1.6B.10,16,Ventral,Unheated,South Africa,102.93,0.04,3.33,368.59,324.28,692.87,78.82,119572035.1,MM
